licno,place_id,name_tc,place_name_tc,name_en,place_name_en,adr_tc,place_adr_tc,adr_en,place_adr_en
2263802229,EkJGLCA2MiBDYXN0bGUgUGVhayBSb2FkLCA2MiBDYXN0bGUgUGVhayBSZCwgTGVpIENoZW5nIFVrLCBIb25nIEtvbmciHRobChYKFAoSCU-2U2FLBwQ0EbDJs0qLr-XhEgFG,銀谷茶餐廳,青山道62號F,Silver Valley Restaurant,"F, 62 Castle Peak Rd",九龍深水埗青山道62號地下B舖 銀谷茶餐廳,香港李鄭屋青山道62號青山道62號F,"Silver Valley Restaurant, SHOP B, G/F, 62 CASTLE PEAK ROAD, SHAM SHUI PO, KOWLOON","F, 62 Castle Peak Road, 62 Castle Peak Rd, Lei Cheng Uk, Hong Kong"
2263802229,ChIJrV16yLQABDQRgxtJqvjwD38,銀谷茶餐廳,維記咖啡粉麵,Silver Valley Restaurant,Wai Kee Noodle Cafe,九龍深水埗青山道62號地下B舖 銀谷茶餐廳,香港深水埗福榮街62及66號,"Silver Valley Restaurant, SHOP B, G/F, 62 CASTLE PEAK ROAD, SHAM SHUI PO, KOWLOON","62及66號 Fuk Wing St, Sham Shui Po, Hong Kong"
2263802380,ChIJXbkho0wHBDQRQAOnSkqlgD0,萬發海鮮菜館,萬發海鮮飯店,萬發海鮮菜館,Man Fat Seafood Restaurant,九龍深水埗九江街149A 號明興樓地下A1及A2號鋪 萬發海鮮菜館,香港深水埗九江街150-152號,"萬發海鮮菜館, SHOP A1 & A2, G/F, MING HING BUILDING, 149A KIU KIANG STREET, SHAM SHUI PO, KOWLOON","150-152 Kiu Kiang St, Sham Shui Po, Hong Kong"
2263802380,ChIJYU6FT6sBBDQRKzkDQJbtm8U,萬發海鮮菜館,Shop A1,萬發海鮮菜館,Shop A1,九龍深水埗九江街149A 號明興樓地下A1及A2號鋪 萬發海鮮菜館,香港銅鑼灣施弼街9-11號,"萬發海鮮菜館, SHOP A1 & A2, G/F, MING HING BUILDING, 149A KIU KIANG STREET, SHAM SHUI PO, KOWLOON","9-11 Shepherd St, Causeway Bay, Hong Kong"
2263802380,ChIJR3zpukwHBDQR_QasYHEs6-s,萬發海鮮菜館,九江街149號,萬發海鮮菜館,149 Kiu Kiang St,九龍深水埗九江街149A 號明興樓地下A1及A2號鋪 萬發海鮮菜館,香港深水埗九江街149號,"萬發海鮮菜館, SHOP A1 & A2, G/F, MING HING BUILDING, 149A KIU KIANG STREET, SHAM SHUI PO, KOWLOON","149 Kiu Kiang St, Sham Shui Po, Hong Kong"
2263802380,EjjlnLDkuItBMeWPikEyLCAxNDkgS2l1IEtpYW5nIFN0LCBTaGFtIFNodWkgUG8sIEhvbmcgS29uZyIpGicKFgoUChIJR3zpukwHBDQR_QasYHEs6-sSDeWcsOS4i0Ex5Y-KQTI,萬發海鮮菜館,九江街149號地下A1及A2,萬發海鮮菜館,"地下A1及A2, 149 Kiu Kiang St",九龍深水埗九江街149A 號明興樓地下A1及A2號鋪 萬發海鮮菜館,香港深水埗九江街149號地下A1及A2,"萬發海鮮菜館, SHOP A1 & A2, G/F, MING HING BUILDING, 149A KIU KIANG STREET, SHAM SHUI PO, KOWLOON","地下A1及A2, 149 Kiu Kiang St, Sham Shui Po, Hong Kong"
2263802380,EjnmqJPlnLDkuItBMeWPiiwgMTQ5IEtpdSBLaWFuZyBTdCwgU2hhbSBTaHVpIFBvLCBIb25nIEtvbmciKhooChYKFAoSCUd86bpMBwQ0Ef0GrGBxLOvrEg7mqJPlnLDkuItBMeWPig,萬發海鮮菜館,九江街149號樓地下A1及,萬發海鮮菜館,"樓地下A1及, 149 Kiu Kiang St",九龍深水埗九江街149A 號明興樓地下A1及A2號鋪 萬發海鮮菜館,香港深水埗九江街149號樓地下A1及,"萬發海鮮菜館, SHOP A1 & A2, G/F, MING HING BUILDING, 149A KIU KIANG STREET, SHAM SHUI PO, KOWLOON","樓地下A1及, 149 Kiu Kiang St, Sham Shui Po, Hong Kong"
2263802423,ChIJOyRomkwHBDQRmMYiZpp3mpg,正記冰室,顯暉大廈,Jing Kee Cafe,Hin Fai Building,九龍青山道129-135號顯暉大廈地下2-7號舖 正記冰室,香港菴由青山道129-135A號顯暉大廈,"Jing Kee Cafe, SHOP NOS. 2-7, G/F, HIN FAI BUILDING, 129-135 CASTLE PEAK ROAD, KOWLOON","Hin Fai Building, 129-135A Castle Peak Rd, Om Yau, Hong Kong"
2263802478,EilHLCA0MSBTaGVrIEtpcCBNZWkgU3QsIFRvbmcgTWksIEhvbmcgS29uZyIdGhsKFgoUChIJAZKSGbUABDQR3axRQ0qo7WASAUc,堅記燒味小廚,石硤尾街41號G,堅記燒味小廚,"G, 41 Shek Kip Mei St",九龍深水埗石硤尾街41號地下B舖 堅記燒味小廚,香港塘尾石硤尾街41號G,"堅記燒味小廚, SHOP B, G/F, 41 SHEK KIP MEI STREET, SHAM SHUI PO, KOWLOON","G, 41 Shek Kip Mei St, Tong Mi, Hong Kong"
2263802478,EilGLCA0MSBTaGVrIEtpcCBNZWkgU3QsIFRvbmcgTWksIEhvbmcgS29uZyIdGhsKFgoUChIJAZKSGbUABDQR3axRQ0qo7WASAUY,堅記燒味小廚,石硤尾街41號F,堅記燒味小廚,"F, 41 Shek Kip Mei St",九龍深水埗石硤尾街41號地下B舖 堅記燒味小廚,香港塘尾石硤尾街41號F,"堅記燒味小廚, SHOP B, G/F, 41 SHEK KIP MEI STREET, SHAM SHUI PO, KOWLOON","F, 41 Shek Kip Mei St, Tong Mi, Hong Kong"
